location,temperature,dateTemperature,dateScrape
Scharfe Lanke / Pichelsdorf,5.4,2022-12-03T05:00:00Z,2022-12-03T07:03:06.146Z
Arendsee,NaN,2022-12-03T05:00:00Z,2022-12-03T07:03:06.146Z

Wannsee,3.8,2022-12-03T08:00:00Z,2022-12-03T10:03:10.712Z
Tegeler See,5.3,2022-12-03T08:00:00Z,2022-12-03T10:03:10.712Z
Müggelsee,3.5,2022-12-03T08:00:00Z,2022-12-03T10:03:10.712Z
Stechlinsee,7.3,2022-12-03T08:00:00Z,2022-12-03T10:03:10.712Z
Havel/Spandau,4.9,2022-12-03T08:00:00Z,2022-12-03T10:03:10.712Z
Oder/Kienitz,2.9,2022-12-03T08:00:00Z,2022-12-03T10:03:10.712Z
Scharfe Lanke / Pichelsdorf,4.8,2022-12-03T08:00:00Z,2022-12-03T10:03:10.712Z
Arendsee,NaN,2022-12-03T08:00:00Z,2022-12-03T10:03:10.712Z

Wannsee,3.8,2022-12-03T13:30:00Z,2022-12-03T17:02:51.343Z
Tegeler See,5.3,2022-12-03T13:30:00Z,2022-12-03T17:02:51.343Z
Müggelsee,3.5,2022-12-03T13:30:00Z,2022-12-03T17:02:51.343Z
Stechlinsee,7.3,2022-12-03T13:30:00Z,2022-12-03T17:02:51.343Z
Havel/Spandau,4.9,2022-12-03T13:30:00Z,2022-12-03T17:02:51.343Z
Oder/Kienitz,2.9,2022-12-03T13:30:00Z,2022-12-03T17:02:51.343Z
Scharfe Lanke / Pichelsdorf,4.8,2022-12-03T13:30:00Z,2022-12-03T17:02:51.343Z
Arendsee,NaN,2022-12-03T13:30:00Z,2022-12-03T17:02:51.343Z
